STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,F,1958,12,14:00,G(10),0.0,,,
0-20000-0-11723,F,1958,12,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,12,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,12,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,12,14:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,12,21:00,AVG,2.9,,,
0-20000-0-11723,F,1958,12,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,12,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,12,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,12,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,12,21:00,MAX,9.0,,,
0-20000-0-11723,F,1959,01,AVG,AVG,2.8,,,
0-20000-0-11723,F,1959,01,AVG,G(10),0.0,,,
0-20000-0-11723,F,1959,01,AVG,G(15),0.0,,,
0-20000-0-11723,F,1959,01,AVG,G(20),0.0,,,
0-20000-0-11723,F,1959,01,AVG,G(30),0.0,,,
0-20000-0-11723,F,1959,01,AVG,MAX,8.3,*,,
0-20000-0-11723,F,1959,01,07:00,AVG,2.3,,,
0-20000-0-11723,F,1959,01,07:00,G(10),0.0,,,
0-20000-0-11723,F,1959,01,07:00,G(15),0.0,,,
0-20000-0-11723,F,1959,01,07:00,G(20),0.0,,,
0-20000-0-11723,F,1959,01,07:00,G(30),0.0,,,
0-20000-0-11723,F,1959,01,07:00,MAX,9.0,*,,
0-20000-0-11723,F,1959,01,14:00,AVG,3.6,,,
0-20000-0-11723,F,1959,01,14:00,G(10),2.0,,,
0-20000-0-11723,F,1959,01,14:00,G(15),0.0,,,
0-20000-0-11723,F,1959,01,14:00,G(20),0.0,,,
0-20000-0-11723,F,1959,01,14:00,G(30),0.0,,,
0-20000-0-11723,F,1959,01,14:00,MAX,12.0,*,,
0-20000-0-11723,F,1959,01,21:00,AVG,2.5,,,
0-20000-0-11723,F,1959,01,21:00,G(10),0.0,,,
0-20000-0-11723,F,1959,01,21:00,G(15),0.0,,,
0-20000-0-11723,F,1959,01,21:00,G(20),0.0,,,
0-20000-0-11723,F,1959,01,21:00,G(30),0.0,,,
0-20000-0-11723,F,1959,01,21:00,MAX,9.0,*,,
0-20000-0-11723,F,1959,02,AVG,AVG,2.9,,,
0-20000-0-11723,F,1959,02,AVG,G(10),0.0,,,
0-20000-0-11723,F,1959,02,AVG,G(15),0.0,,,
0-20000-0-11723,F,1959,02,AVG,G(20),0.0,,,
0-20000-0-11723,F,1959,02,AVG,G(30),0.0,,,
0-20000-0-11723,F,1959,02,AVG,MAX,8.3,,,
0-20000-0-11723,F,1959,02,07:00,AVG,2.1,,,
0-20000-0-11723,F,1959,02,07:00,G(10),0.0,,,
0-20000-0-11723,F,1959,02,07:00,G(15),0.0,,,
0-20000-0-11723,F,1959,02,07:00,G(20),0.0,,,
0-20000-0-11723,F,1959,02,07:00,G(30),0.0,,,
0-20000-0-11723,F,1959,02,07:00,MAX,7.0,*,,
0-20000-0-11723,F,1959,02,14:00,AVG,3.5,,,
0-20000-0-11723,F,1959,02,14:00,G(10),1.0,,,
0-20000-0-11723,F,1959,02,14:00,G(15),0.0,,,
0-20000-0-11723,F,1959,02,14:00,G(20),0.0,,,
0-20000-0-11723,F,1959,02,14:00,G(30),0.0,,,
0-20000-0-11723,F,1959,02,14:00,MAX,12.0,,,
0-20000-0-11723,F,1959,02,21:00,AVG,3.0,,,
0-20000-0-11723,F,1959,02,21:00,G(10),0.0,,,
0-20000-0-11723,F,1959,02,21:00,G(15),0.0,,,
